2017, INVENTORY, 16000
2016, INVENTORY, 19000
2015, INVENTORY, 17000
2014, INVENTORY, 17000
2013, INVENTORY, 13000
2012, INVENTORY, 16000
2011, INVENTORY, 24000
2010, INVENTORY, 30000
2009, INVENTORY, 21000
2008, INVENTORY, 23000
2007, INVENTORY, 25000
2006, INVENTORY, 28000
2005, INVENTORY, 28000
2004, INVENTORY, 30000
2003, INVENTORY, 27000
2002, INVENTORY, 29000
2001, INVENTORY, 26000
2000, INVENTORY, 25000
1999, INVENTORY, 28000
1998, INVENTORY, 26000
1997, INVENTORY, 22000
1996, INVENTORY, 23000
1995, INVENTORY, 25000
1994, INVENTORY, 27000
1993, INVENTORY, 28000
1992, INVENTORY, 30000
1991, INVENTORY, 40000
1990, INVENTORY, 41000
1989, INVENTORY, 41000
1988, INVENTORY, 45000
1987, INVENTORY, 48000
