2017, INVENTORY, 99000
2016, INVENTORY, 96000
2015, INVENTORY, 69000
2014, INVENTORY, 73000
2013, INVENTORY, 67000
2012, INVENTORY, 59000
2011, INVENTORY, 65000
2010, INVENTORY, 55000
2009, INVENTORY, 65000
2008, INVENTORY, 65000
2007, INVENTORY, 60000
2006, INVENTORY, 63000
2005, INVENTORY, 59000
2004, INVENTORY, 63000
2003, INVENTORY, 52000
2002, INVENTORY, 50000
2001, INVENTORY, 55000
2000, INVENTORY, 55000
1999, INVENTORY, 65000
1998, INVENTORY, 75000
1997, INVENTORY, 75000
1996, INVENTORY, 75000
1995, INVENTORY, 70000
1994, INVENTORY, 80000
1993, INVENTORY, 80000
1992, INVENTORY, 85000
1991, INVENTORY, 102000
1990, INVENTORY, 111000
1989, INVENTORY, 116000
1988, INVENTORY, 115000
1987, INVENTORY, 120000
