2017, INVENTORY, 95000
2016, INVENTORY, 97000
2015, INVENTORY, 89000
2014, INVENTORY, 100000
2013, INVENTORY, 83000
2012, INVENTORY, 92000
2011, INVENTORY, 87000
2010, INVENTORY, 97000
2009, INVENTORY, 103000
2008, INVENTORY, 90000
2007, INVENTORY, 92000
2006, INVENTORY, 95000
2005, INVENTORY, 95000
2004, INVENTORY, 100000
2003, INVENTORY, 100000
2002, INVENTORY, 100000
2001, INVENTORY, 100000
2000, INVENTORY, 100000
1999, INVENTORY, 120000
1998, INVENTORY, 120000
1997, INVENTORY, 120000
1996, INVENTORY, 110000
1995, INVENTORY, 125000
1994, INVENTORY, 127000
1993, INVENTORY, 133000
1992, INVENTORY, 135000
1991, INVENTORY, 140000
1990, INVENTORY, 140000
1989, INVENTORY, 140000
1988, INVENTORY, 127000
1987, INVENTORY, 120000
