2017, INVENTORY, 22000
2016, INVENTORY, 27000
2015, INVENTORY, 26000
2014, INVENTORY, 26000
2013, INVENTORY, 29000
2012, INVENTORY, 22000
2011, INVENTORY, 23000
2010, INVENTORY, 24000
2009, INVENTORY, 20000
2008, INVENTORY, 25000
2007, INVENTORY, 30000
2006, INVENTORY, 30000
2005, INVENTORY, 36000
2004, INVENTORY, 32000
2003, INVENTORY, 35000
2002, INVENTORY, 38000
2001, INVENTORY, 43000
2000, INVENTORY, 40000
1999, INVENTORY, 52000
1998, INVENTORY, 55000
1997, INVENTORY, 42000
1996, INVENTORY, 32000
1995, INVENTORY, 52000
1994, INVENTORY, 53000
1993, INVENTORY, 55000
1992, INVENTORY, 70000
1991, INVENTORY, 75000
1990, INVENTORY, 67000
1989, INVENTORY, 78000
1988, INVENTORY, 80000
1987, INVENTORY, 80000
