2017, INVENTORY, 335000
2016, INVENTORY, 310000
2015, INVENTORY, 275000
2014, INVENTORY, 320000
2013, INVENTORY, 330000
2012, INVENTORY, 330000
2011, INVENTORY, 370000
2010, INVENTORY, 410000
2009, INVENTORY, 355000
2008, INVENTORY, 360000
2007, INVENTORY, 340000
2006, INVENTORY, 380000
2005, INVENTORY, 400000
2004, INVENTORY, 390000
2003, INVENTORY, 480000
2002, INVENTORY, 470000
2001, INVENTORY, 460000
2000, INVENTORY, 440000
1999, INVENTORY, 465000
1998, INVENTORY, 450000
1997, INVENTORY, 420000
1996, INVENTORY, 390000
1995, INVENTORY, 420000
1994, INVENTORY, 400000
1993, INVENTORY, 500000
1992, INVENTORY, 490000
1991, INVENTORY, 550000
1990, INVENTORY, 480000
1989, INVENTORY, 620000
1988, INVENTORY, 600000
1987, INVENTORY, 540000
