Call Sign (String),Time Zone ID (String),Taken At (UTC) (ISO 8601),Taken At (Local) (ISO 8601),Is Regular Report (Boolean),Is Correction (Boolean),Has Been Corrected (Boolean),Has Precipitation Sensor (Boolean),Source (String),Sub-Source (String),Report Type (String),Trend (String),Airport Status (String),Automatic Type (String),Temperature (°F),Temperature Precision (Integer),Temperature 6-Hour Low (°F),Temperature 6-Hour High (°F),Temperature 24-Hour Low (°F),Temperature 24-Hour High (°F),Dew Point (°F),Dew Point Precision (Integer),Wind Speed (mph),Wind Direction (degrees),Gust Speed (mph),CAVOK (Boolean),Visibility (mi),Visibility Type (String),Precipitation 1h (in),Precipitation 3h (in),Precipitation 6h (in),Precipitation 24h (in),Snow Depth (in),Pressure Altimeter (in Hg),Pressure Station (in Hg),Pressure Sea Level (in Hg),Max Cloud Layer Code (String),Max Cloud Layer Height (ft),Cloud Layer Code 1 (String),Cloud Layer Label 1 (String),Cloud Layer Height 1 (ft),Cloud Layer Code 2 (String),Cloud Layer Label 2 (String),Cloud Layer Height 2 (ft),Cloud Layer Code 3 (String),Cloud Layer Label 3 (String),Cloud Layer Height 3 (ft),Cloud Layer Code 4 (String),Cloud Layer Label 4 (String),Cloud Layer Height 4 (ft),Cloud Layer Code 5 (String),Cloud Layer Label 5 (String),Cloud Layer Height 5 (ft),Cloud Layer Code 6 (String),Cloud Layer Label 6 (String),Cloud Layer Height 6 (ft),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Raw (String)
KDEN,America/Denver,1987-11-11T06:52:00,1987-11-10T23:52:00,true,false,false,false,Metar,DvdArchive,,,,,37.04,1,,,,,30.92,1,4.60,140.00,,false,15.00,Value,,,,,,30.32,,,OVC,20000.00,BKN,mostly cloudy,14000.00,OVC,overcast,20000.00,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 110652Z 14004KT 15SM BKN140 OVC200 03/M01 A3032 RMK SLP247 T00281006
KDEN,America/Denver,1987-11-11T08:50:00,1987-11-11T01:50:00,true,false,false,false,Metar,DvdArchive,,,,,37.94,1,,,,,28.94,1,4.60,110.00,,false,20.00,Value,,,,,,30.32,,,OVC,25000.00,OVC,overcast,25000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 110850Z 11004KT 20SM OVC250 03/M02 A3032 RMK SLP241 T00331017
KDEN,America/Denver,1987-11-13T03:52:00,1987-11-12T20:52:00,true,false,false,false,Metar,DvdArchive,,,,,46.94,1,,,,,24.98,1,6.90,10.00,,false,20.00,Value,,,,,,30.02,,,OVC,25000.00,SCT,partly cloudy,13000.00,OVC,overcast,25000.00,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 130352Z 01006KT 20SM SCT130 OVC250 08/M04 A3002 RMK SLP140 T00831039
KDEN,America/Denver,1987-11-13T05:50:00,1987-11-12T22:50:00,true,false,false,false,Metar,DvdArchive,,,,,42.98,1,,64.94,,,26.96,1,9.21,210.00,,false,20.00,Value,,,,,,30.01,,,BKN,25000.00,SCT,partly cloudy,15000.00,BKN,mostly cloudy,25000.00,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 130550Z 21008KT 20SM SCT150 BKN250 06/M03 A3001 RMK SLP129 T00611028 10183
KDEN,America/Denver,1987-11-13T07:50:00,1987-11-13T00:50:00,true,false,false,false,Metar,DvdArchive,,,,,42.08,1,,,,,26.06,1,6.90,120.00,,false,20.00,Value,,,,,,30.00,,,OVC,16000.00,BKN,mostly cloudy,10000.00,OVC,overcast,16000.00,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 130750Z 12006KT 20SM BKN100 OVC160 06/M03 A3000 RMK SLP122 T00561033
KDEN,America/Denver,1987-11-15T04:50:00,1987-11-14T21:50:00,true,false,false,false,Metar,DvdArchive,,,,,39.02,1,,,,,30.92,1,11.51,190.00,,false,5.00,Value,,,,,,29.63,,,OVC,1600.00,SCT,partly cloudy,500.00,OVC,overcast,1600.00,,,,,,,,,,,,,RABR,rain with mist,,,,,,,,,,,KDEN 150450Z 19010KT 5SM RABR SCT005 OVC016 04/M01 A2963 RMK SLP011 T00391006
KDEN,America/Denver,1987-11-15T06:50:00,1987-11-14T23:50:00,true,false,false,false,Metar,DvdArchive,,,,,35.96,1,,,,,30.02,1,5.75,190.00,,false,7.00,Value,,,,,,29.62,,,OVC,2300.00,SCT,partly cloudy,500.00,OVC,overcast,2300.00,,,,,,,,,,,,,-RA,light rain,,,,,,,,,,,KDEN 150650Z 19005KT 7SM -RA SCT005 OVC023 02/M01 A2962 RMK SLP006 T00221011
KDEN,America/Denver,1987-11-17T03:51:00,1987-11-16T20:51:00,true,false,false,false,Metar,DvdArchive,,,,,23.00,1,,,,,15.08,1,8.06,180.00,,false,15.00,Value,,,,,,29.83,,,BKN,10000.00,BKN,mostly cloudy,10000.00,BKN,mostly cloudy,25000.00,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 170351Z 18007KT 15SM BKN100 BKN250 M05/M09 A2983 RMK SLP132 T10501094
KDEN,America/Denver,1987-11-17T05:50:00,1987-11-16T22:50:00,true,false,false,false,Metar,DvdArchive,,,,,23.00,1,,33.08,,,14.00,1,8.06,190.00,,false,20.00,Value,,,,,,29.81,,,BKN,11000.00,BKN,mostly cloudy,11000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 170550Z 19007KT 20SM BKN110 M05/M10 A2981 RMK SLP120 T10501100 10006
KDEN,America/Denver,1987-11-19T04:51:00,1987-11-18T21:51:00,true,false,false,false,Metar,DvdArchive,,,,,28.94,1,,,,,17.06,1,10.36,190.00,,false,20.00,Value,,,,,,30.30,,,SCT,12000.00,SCT,partly cloudy,12000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 190451Z 19009KT 20SM SCT120 M02/M08 A3030 RMK SLP282 T10171083
KDEN,America/Denver,1987-12-11T04:53:00,1987-12-10T21:53:00,true,false,false,false,Metar,DvdArchive,,,,,50.00,1,,,,,32.00,1,20.71,310.00,,false,20.00,Value,,,,,,29.79,,,SCT,12000.00,SCT,partly cloudy,12000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 110453Z 31018KT 20SM SCT120 10/00 A2979 RMK SLP047 T01000000
KDEN,America/Denver,1987-12-11T08:53:00,1987-12-11T01:53:00,true,false,false,false,Metar,DvdArchive,,,,,35.06,1,,,,,32.00,1,12.66,110.00,,false,20.00,Value,,,,,,29.88,,,SCT,10000.00,SCT,partly cloudy,10000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 110853Z 11011KT 20SM SCT100 02/00 A2988 RMK SLP092 T00170000
KDEN,America/Denver,1987-12-13T03:50:00,1987-12-12T20:50:00,true,false,false,false,Metar,DvdArchive,,,,,21.92,1,,,,,3.02,1,6.90,100.00,,false,20.00,Value,,,,,,29.99,,,OVC,25000.00,SCT,partly cloudy,6500.00,SCT,partly cloudy,9000.00,OVC,overcast,25000.00,,,,,,,,,,,,,,,,,,,,,,KDEN 130350Z 10006KT 20SM SCT065 SCT090 OVC250 M06/M16 A2999 RMK SLP182 T10561161
