Call Sign (String),Time Zone ID (String),Taken At (UTC) (ISO 8601),Taken At (Local) (ISO 8601),Is Regular Report (Boolean),Is Correction (Boolean),Has Been Corrected (Boolean),Has Precipitation Sensor (Boolean),Source (String),Sub-Source (String),Report Type (String),Trend (String),Airport Status (String),Automatic Type (String),Temperature (°F),Temperature Precision (Integer),Temperature 6-Hour Low (°F),Temperature 6-Hour High (°F),Temperature 24-Hour Low (°F),Temperature 24-Hour High (°F),Dew Point (°F),Dew Point Precision (Integer),Wind Speed (mph),Wind Direction (degrees),Gust Speed (mph),CAVOK (Boolean),Visibility (mi),Visibility Type (String),Precipitation 1h (in),Precipitation 3h (in),Precipitation 6h (in),Precipitation 24h (in),Snow Depth (in),Pressure Altimeter (in Hg),Pressure Station (in Hg),Pressure Sea Level (in Hg),Max Cloud Layer Code (String),Max Cloud Layer Height (ft),Cloud Layer Code 1 (String),Cloud Layer Label 1 (String),Cloud Layer Height 1 (ft),Cloud Layer Code 2 (String),Cloud Layer Label 2 (String),Cloud Layer Height 2 (ft),Cloud Layer Code 3 (String),Cloud Layer Label 3 (String),Cloud Layer Height 3 (ft),Cloud Layer Code 4 (String),Cloud Layer Label 4 (String),Cloud Layer Height 4 (ft),Cloud Layer Code 5 (String),Cloud Layer Label 5 (String),Cloud Layer Height 5 (ft),Cloud Layer Code 6 (String),Cloud Layer Label 6 (String),Cloud Layer Height 6 (ft),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Raw (String)
KDEN,America/Denver,1989-10-11T04:50:00,1989-10-10T22:50:00,true,false,false,false,Metar,DvdArchive,,,,,57.02,1,,,,,30.02,1,12.66,210.00,,false,20.00,Value,,,,,,30.01,,,CLR,,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 110450Z 21011KT 20SM CLR 14/M01 A3001 RMK SLP100 T01391011
KDEN,America/Denver,1989-10-11T06:50:00,1989-10-11T00:50:00,true,false,false,false,Metar,DvdArchive,,,,,55.04,1,,,,,26.96,1,6.90,230.00,,false,20.00,Value,,,,,,30.00,,,CLR,,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 110650Z 23006KT 20SM CLR 13/M03 A3000 RMK SLP091 T01281028
KDEN,America/Denver,1989-10-11T08:50:00,1989-10-11T02:50:00,true,false,false,false,Metar,DvdArchive,,,,,53.96,1,,,,,26.06,1,6.90,190.00,,false,20.00,Value,,,,,,30.00,,,SCT,14000.00,SCT,partly cloudy,14000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 110850Z 19006KT 20SM SCT140 12/M03 A3000 RMK SLP090 T01221033
KDEN,America/Denver,1989-10-13T03:52:00,1989-10-12T21:52:00,true,false,false,false,Metar,DvdArchive,,,,,60.08,1,,,,,21.92,1,9.21,170.00,,false,20.00,Value,,,,,,30.15,,,CLR,,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 130352Z 17008KT 20SM CLR 16/M06 A3015 RMK SLP152 T01561056
KDEN,America/Denver,1989-10-13T05:50:00,1989-10-12T23:50:00,true,false,false,false,Metar,DvdArchive,,,,,51.98,1,,82.94,,,24.98,1,8.06,150.00,,false,20.00,Value,,,,,,30.15,,,SCT,30000.00,SCT,partly cloudy,30000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 130550Z 15007KT 20SM SCT300 11/M04 A3015 RMK SLP148 T01111039 10283
KDEN,America/Denver,1989-10-13T07:50:00,1989-10-13T01:50:00,true,false,false,false,Metar,DvdArchive,,,,,51.98,1,,,,,24.08,1,6.90,190.00,,false,20.00,Value,,,,,,30.15,,,BKN,30000.00,BKN,mostly cloudy,30000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 130750Z 19006KT 20SM BKN300 11/M04 A3015 RMK SLP145 T01111044
KDEN,America/Denver,1989-10-15T04:51:00,1989-10-14T22:51:00,true,false,false,false,Metar,DvdArchive,,,,,55.94,1,,,,,19.94,1,8.06,170.00,,false,20.00,Value,,,,,,29.87,,,BKN,25000.00,BKN,mostly cloudy,25000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 150451Z 17007KT 20SM BKN250 13/M07 A2987 RMK SLP058 T01331067
KDEN,America/Denver,1989-10-15T06:51:00,1989-10-15T00:51:00,true,false,false,false,Metar,DvdArchive,,,,,51.98,1,,,,,21.02,1,6.90,190.00,,false,20.00,Value,,,,,,29.83,,,CLR,,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 150651Z 19006KT 20SM CLR 11/M06 A2983 RMK SLP040 T01111061
KDEN,America/Denver,1989-10-17T03:51:00,1989-10-16T21:51:00,true,false,false,false,Metar,DvdArchive,,,,,30.92,1,,,,,30.02,1,3.45,130.00,,false,8.00,Value,,,,,,30.33,,,OVC,2800.00,SCT,partly cloudy,600.00,SCT,partly cloudy,1500.00,OVC,overcast,2800.00,,,,,,,,,,-SN,light snow,,,,,,,,,,,KDEN 170351Z 13003KT 8SM -SN SCT006 SCT015 OVC028 M01/M01 A3033 RMK SLP291 T10061011
KDEN,America/Denver,1989-10-17T05:50:00,1989-10-16T23:50:00,true,false,false,false,Metar,DvdArchive,,,,,30.92,1,,33.98,,,30.02,1,4.60,120.00,,false,6.00,Value,,,,,,30.35,,,OVC,2500.00,SCT,partly cloudy,1200.00,OVC,overcast,2500.00,,,,,,,,,,,,,-SNBR,light snow with mist,,,,,,,,,,,KDEN 170550Z 12004KT 6SM -SNBR SCT012 OVC025 M01/M01 A3035 RMK SLP296 T10061011 10011
KDEN,America/Denver,1989-10-19T04:50:00,1989-10-18T22:50:00,true,false,false,false,Metar,DvdArchive,,,,,30.02,1,,,,,28.04,1,4.60,160.00,,false,15.00,Value,,,,,,30.52,,,CLR,,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 190450Z 16004KT 15SM CLR M01/M02 A3052 RMK SLP352 T10111022
KDEN,America/Denver,1989-11-11T04:52:00,1989-11-10T21:52:00,true,false,false,false,Metar,DvdArchive,,,,,50.00,1,,,,,32.00,1,6.90,220.00,,false,20.00,Value,,,,,,30.03,,,SCT,25000.00,SCT,partly cloudy,25000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 110452Z 22006KT 20SM SCT250 10/00 A3003 RMK SLP124 T01000000
KDEN,America/Denver,1989-11-11T06:53:00,1989-11-10T23:53:00,true,false,false,false,Metar,DvdArchive,,,,,48.02,1,,,,,30.92,1,4.60,180.00,,false,20.00,Value,,,,,,30.02,,,BKN,30000.00,BKN,mostly cloudy,30000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 110653Z 18004KT 20SM BKN300 09/M01 A3002 RMK SLP114 T00891006
KDEN,America/Denver,1989-11-11T08:51:00,1989-11-11T01:51:00,true,false,false,false,Metar,DvdArchive,,,,,46.94,1,,,,,28.94,1,11.51,180.00,,false,20.00,Value,,,,,,30.01,,,BKN,30000.00,BKN,mostly cloudy,30000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 110851Z 18010KT 20SM BKN300 08/M02 A3001 RMK SLP112 T00831017
KDEN,America/Denver,1989-11-13T03:53:00,1989-11-12T20:53:00,true,false,false,false,Metar,DvdArchive,,,,,51.08,1,,,,,21.92,1,10.36,210.00,,false,20.00,Value,,,,,,29.80,,,BKN,30000.00,BKN,mostly cloudy,30000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 130353Z 21009KT 20SM BKN300 11/M06 A2980 RMK SLP045 T01061056
