2012, INVENTORY, 5000
2011, INVENTORY, 7000
2010, INVENTORY, 7000
2009, INVENTORY, 7000
2008, INVENTORY, 6000
2007, INVENTORY, 6000
2006, INVENTORY, 7000
2005, INVENTORY, 7000
2004, INVENTORY, 8000
2003, INVENTORY, 6000
2002, INVENTORY, 11000
2001, INVENTORY, 10000
2000, INVENTORY, 15000
1999, INVENTORY, 15000
1998, INVENTORY, 14000
1997, INVENTORY, 15000
1996, INVENTORY, 15000
1995, INVENTORY, 19000
1994, INVENTORY, 19000
1993, INVENTORY, 18000
1992, INVENTORY, 18000
1991, INVENTORY, 20000
1990, INVENTORY, 29000
1989, INVENTORY, 23000
1988, INVENTORY, 21000
1987, INVENTORY, 19000
