2017, INVENTORY, 35000
2016, INVENTORY, 37000
2015, INVENTORY, 36000
2014, INVENTORY, 35000
2013, INVENTORY, 39000
2012, INVENTORY, 37000
2011, INVENTORY, 25000
2010, INVENTORY, 27000
2009, INVENTORY, 26000
2008, INVENTORY, 24000
2007, INVENTORY, 26000
2006, INVENTORY, 26000
2005, INVENTORY, 28000
2004, INVENTORY, 35000
2003, INVENTORY, 32000
2002, INVENTORY, 33000
2001, INVENTORY, 33000
2000, INVENTORY, 30000
1999, INVENTORY, 40000
1998, INVENTORY, 50000
1997, INVENTORY, 45000
1996, INVENTORY, 52000
1995, INVENTORY, 45000
1994, INVENTORY, 52000
1993, INVENTORY, 56000
1992, INVENTORY, 65000
1991, INVENTORY, 70000
1990, INVENTORY, 70000
1989, INVENTORY, 67000
1988, INVENTORY, 49000
1987, INVENTORY, 44000
