2017, INVENTORY, 42000
2016, INVENTORY, 48000
2015, INVENTORY, 57000
2014, INVENTORY, 50000
2013, INVENTORY, 46000
2012, INVENTORY, 43000
2011, INVENTORY, 41000
2010, INVENTORY, 41000
2009, INVENTORY, 48000
2008, INVENTORY, 36000
2007, INVENTORY, 45000
2006, INVENTORY, 47000
2005, INVENTORY, 40000
2004, INVENTORY, 51000
2003, INVENTORY, 45000
2002, INVENTORY, 43000
2001, INVENTORY, 43000
2000, INVENTORY, 50000
1999, INVENTORY, 58000
1998, INVENTORY, 64000
1997, INVENTORY, 61000
1996, INVENTORY, 65000
1995, INVENTORY, 60000
1994, INVENTORY, 72000
1993, INVENTORY, 83000
1992, INVENTORY, 96000
1991, INVENTORY, 108000
1990, INVENTORY, 118000
1989, INVENTORY, 119000
1988, INVENTORY, 113000
1987, INVENTORY, 110000
