2017, INVENTORY, 87000
2016, INVENTORY, 89000
2015, INVENTORY, 90000
2014, INVENTORY, 91000
2013, INVENTORY, 85000
2012, INVENTORY, 73000
2011, INVENTORY, 74000
2010, INVENTORY, 71000
2009, INVENTORY, 66000
2008, INVENTORY, 71000
2007, INVENTORY, 72000
2006, INVENTORY, 72000
2005, INVENTORY, 65000
2004, INVENTORY, 65000
2003, INVENTORY, 65000
2002, INVENTORY, 72000
2001, INVENTORY, 76000
2000, INVENTORY, 72000
1999, INVENTORY, 73000
1998, INVENTORY, 80000
1997, INVENTORY, 85000
1996, INVENTORY, 90000
1995, INVENTORY, 97000
1994, INVENTORY, 90000
1993, INVENTORY, 90000
1992, INVENTORY, 95000
1991, INVENTORY, 105000
1990, INVENTORY, 100000
1989, INVENTORY, 102000
1988, INVENTORY, 95000
1987, INVENTORY, 93000
