2017, INVENTORY, 7000
2016, INVENTORY, 6000
2015, INVENTORY, 7000
2014, INVENTORY, 7000
2013, INVENTORY, 7000
2012, INVENTORY, 6000
2011, INVENTORY, 7000
2010, INVENTORY, 8000
2009, INVENTORY, 7000
2008, INVENTORY, 7000
2007, INVENTORY, 7000
2006, INVENTORY, 7000
2005, INVENTORY, 7000
2004, INVENTORY, 6000
2003, INVENTORY, 6000
2002, INVENTORY, 8000
2001, INVENTORY, 8000
2000, INVENTORY, 9000
1999, INVENTORY, 8000
1998, INVENTORY, 7000
1997, INVENTORY, 7000
1996, INVENTORY, 5000
1995, INVENTORY, 5000
1994, INVENTORY, 6000
1993, INVENTORY, 8000
1992, INVENTORY, 7000
1991, INVENTORY, 14000
1990, INVENTORY, 19000
1989, INVENTORY, 25000
1988, INVENTORY, 35000
1987, INVENTORY, 35000
