2017, INVENTORY, 5000
2016, INVENTORY, 5000
2015, INVENTORY, 5000
2014, INVENTORY, 5000
2013, INVENTORY, 3000
2012, INVENTORY, 5000
2011, INVENTORY, 4000
2010, INVENTORY, 5000
2009, INVENTORY, 5000
2008, INVENTORY, 4000
2007, INVENTORY, 4000
2006, INVENTORY, 5000
2005, INVENTORY, 5000
2004, INVENTORY, 5000
2003, INVENTORY, 5000
2002, INVENTORY, 5000
2001, INVENTORY, 4000
2000, INVENTORY, 4000
1999, INVENTORY, 3000
1998, INVENTORY, 3000
1997, INVENTORY, 3000
1996, INVENTORY, 3000
1995, INVENTORY, 3000
1994, INVENTORY, 3000
1993, INVENTORY, 4000
1992, INVENTORY, 4000
1991, INVENTORY, 7000
1990, INVENTORY, 8000
1989, INVENTORY, 12000
1988, INVENTORY, 12000
1987, INVENTORY, 14000
