2017, INVENTORY, 78000
2016, INVENTORY, 74000
2015, INVENTORY, 71000
2014, INVENTORY, 71000
2013, INVENTORY, 62000
2012, INVENTORY, 60000
2011, INVENTORY, 60000
2010, INVENTORY, 59000
2009, INVENTORY, 55000
2008, INVENTORY, 50000
2007, INVENTORY, 46000
2006, INVENTORY, 46000
2005, INVENTORY, 39000
2004, INVENTORY, 42000
2003, INVENTORY, 42000
2002, INVENTORY, 43000
2001, INVENTORY, 44000
2000, INVENTORY, 48000
1999, INVENTORY, 45000
1998, INVENTORY, 50000
1997, INVENTORY, 50000
1996, INVENTORY, 55000
1995, INVENTORY, 52000
1994, INVENTORY, 50000
1993, INVENTORY, 53000
1992, INVENTORY, 52000
1991, INVENTORY, 56000
1990, INVENTORY, 61000
1989, INVENTORY, 63000
1988, INVENTORY, 60000
1987, INVENTORY, 55000
