Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KMKE,America/Chicago,2013-01-01,6.98,17.06,-0.04,3.92,3.45,10.36,,NW,10.00,10.00,,2.00,30.13,30.22,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-02,8.60,26.06,1.40,17.96,3.45,11.51,,SW,9.00,10.00,0.00,2.00,30.05,30.16,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-03,17.06,26.96,10.40,19.40,5.75,16.11,23.02,W,4.00,10.00,0.00,2.00,30.03,30.20,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-04,12.20,30.02,5.00,17.96,5.75,17.26,25.32,W,10.00,10.00,,2.00,30.05,30.18,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-05,19.04,35.96,14.00,33.08,0.00,17.26,21.86,SW,2.50,10.00,0.05,2.00,29.88,30.20,CLR,clear,OVC,overcast,-SN,light snow,-DZ,light drizzle,HZ,haze,BR,mist,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-06,19.94,35.06,15.98,32.00,3.45,18.41,25.32,NW,2.00,10.00,0.00,1.00,29.86,30.29,CLR,clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-07,17.96,39.02,12.92,26.96,5.75,21.86,32.22,SW,6.00,10.00,,1.00,30.04,30.27,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-08,26.96,39.92,24.08,30.02,4.60,14.96,21.86,SW,5.00,10.00,,,29.95,30.12,FEW,mostly clear,BKN,mostly cloudy,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-09,28.94,42.98,21.02,30.02,4.60,24.17,34.52,W,10.00,10.00,,,29.92,30.45,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-10,23.00,39.92,19.04,37.40,0.00,19.56,29.92,SE,0.75,10.00,0.41,,29.91,30.50,CLR,clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-11,37.40,51.08,37.40,46.40,0.00,17.26,21.86,SW,0.12,10.00,0.26,,29.64,29.89,FEW,mostly clear,VV,overcast,+RA,heavy rain,-RA,light rain,FG,fog,BR,mist,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-12,28.04,51.98,19.94,46.04,4.60,20.71,33.37,SW,6.00,10.00,0.05,,29.65,29.97,FEW,mostly clear,OVC,overcast,-SNPL,light snow and ice pellets,-PL,light ice pellets,-FZRAPL,light freezing rain and ice pellets,-FZRA,light freezing rain,BR,mist,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-13,14.00,26.96,5.00,24.98,5.75,18.41,25.32,W,1.75,10.00,0.13,,29.88,30.18,FEW,mostly clear,OVC,overcast,-SN,light snow,-SNPL,light snow and ice pellets,BR,mist,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-14,10.94,26.06,3.92,10.40,4.60,12.66,,W,10.00,10.00,,,30.21,30.42,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-15,15.08,30.02,10.04,15.08,0.00,10.36,,SW,10.00,10.00,,,30.09,30.40,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-16,17.96,33.98,8.96,26.96,3.45,23.02,34.52,SW,10.00,10.00,,,29.74,30.07,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-17,17.06,28.94,-0.04,19.04,0.00,16.11,23.02,NW,10.00,10.00,,,30.07,30.38,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-18,15.08,42.08,6.08,30.02,0.00,31.07,46.03,SW,10.00,10.00,0.01,,29.82,30.41,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-19,21.02,44.06,6.08,33.08,5.75,33.37,46.03,SW,8.00,10.00,0.00,,29.65,29.86,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-20,8.06,15.98,-4.00,1.94,6.90,27.62,39.13,NW,10.00,10.00,0.00,,29.93,30.27,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-21,-2.02,10.94,-14.08,3.20,5.75,20.71,33.37,NW,3.00,10.00,0.00,,30.09,30.25,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-22,-5.08,8.06,-16.96,-5.98,5.75,16.11,24.17,NW,9.00,10.00,0.00,,30.24,30.33,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-23,3.92,17.96,-7.06,12.20,4.60,23.02,35.67,W,0.12,10.00,0.01,1.00,30.06,30.34,CLR,clear,OVC,overcast,SN,snow,-SN,light snow,BLSN,blowing snow,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-24,3.02,19.04,-5.98,8.06,0.00,14.96,21.86,NW,10.00,10.00,,1.00,30.36,30.61,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-25,17.06,24.80,6.08,19.40,3.45,16.11,23.02,SW,1.00,10.00,0.03,1.00,29.93,30.32,CLR,clear,VV,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-26,10.94,26.06,3.92,12.92,3.45,10.36,,NW,10.00,10.00,,1.00,30.17,30.37,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-27,24.98,33.80,15.08,33.80,3.45,21.86,29.92,S,0.25,10.00,0.13,1.00,29.88,30.34,FEW,mostly clear,VV,overcast,SN,snow,-SN,light snow,-PL,light ice pellets,-FZRAPL,light freezing rain and ice pellets,-FZDZ,light freezing drizzle,-FZRA,light freezing rain,HZ,haze,FZFG,freezing fog,BR,mist,,,,,,
KMKE,America/Chicago,2013-01-28,32.00,42.08,30.02,39.20,0.00,11.51,,W,0.50,10.00,0.06,1.00,29.77,29.96,FEW,mostly clear,OVC,overcast,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-01-29,37.04,60.80,35.60,57.20,0.00,17.26,28.77,N,0.12,10.00,1.46,,29.45,29.82,FEW,mostly clear,VV,overcast,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,RA,rain,-RA,light rain,FG,fog,BR,mist,MIFG,shallow fog,,,,,,,,,,
KMKE,America/Chicago,2013-01-30,17.96,37.04,10.04,35.96,10.36,21.86,32.22,NW,0.50,10.00,0.32,1.00,29.23,29.56,FEW,mostly clear,OVC,overcast,SN,snow,-SN,light snow,-PL,light ice pellets,-RA,light rain,FG,fog,FZFG,freezing fog,BR,mist,,,,,,,,,,
KMKE,America/Chicago,2013-01-31,5.00,17.60,-4.00,10.40,12.66,20.71,29.92,W,1.50,10.00,0.00,1.00,29.57,30.09,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,BLSN,blowing snow,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-02-01,-0.40,8.96,-9.04,5.00,8.06,16.11,24.17,W,1.75,10.00,0.02,1.00,30.10,30.28,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-02-02,8.06,12.92,-2.20,8.96,0.00,11.51,,NW,1.25,10.00,0.08,3.00,30.01,30.10,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-02-03,8.96,19.94,-2.02,10.94,0.00,19.56,26.47,W,3.00,10.00,0.00,2.00,29.92,30.02,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-02-04,12.02,19.94,1.04,17.60,0.00,12.66,19.56,N,1.50,10.00,0.11,3.00,29.91,29.99,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-02-05,6.98,28.04,-0.04,21.20,0.00,17.26,23.02,SW,0.25,10.00,0.04,3.00,29.76,30.08,FEW,mostly clear,VV,overcast,SN,snow,-SN,light snow,HZ,haze,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-02-06,6.08,33.98,1.94,28.04,0.00,17.26,,S,5.00,10.00,0.00,3.00,30.09,30.22,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2013-02-07,24.80,33.80,23.00,32.00,0.00,18.41,28.77,S,0.25,6.00,0.67,7.00,29.89,30.10,FEW,mostly clear,VV,overcast,SN,snow,-SN,light snow,-PL,light ice pellets,-RAPL,light rain and ice pellets,HZ,haze,FG,fog,BR,mist,BLSN,blowing snow,,,,,,,,
KMKE,America/Chicago,2013-02-08,19.04,26.60,15.98,23.00,4.60,16.11,27.62,NW,1.75,10.00,0.01,7.00,29.99,30.38,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
