State,Unemployment
AL,1000000
AZ,1000000
AR,1000000
CA,1000000
CO,1000000
ID,1000000
IN,1000000
IA,1000000
KY,1000000
LA,1000000
NE,1000000
ND,1000000
OH,1000000
PA,1000000
SD,1000000
WA,1000000
WY,1000000
FL,10
GA,10
HI,10
IL,10
KS,10
ME,10
MI,10
MN,10
MS,10
MT,10
NC,10
OR,10
TN,10
TX,10
UT,10
VT,10
VA,10
WI,10
