State,Unemployment
AL,1000000
AR,1000000
CA,1000000
CO,1000000
ID,1000000
IL,1000000
IN,1000000
IA,1000000
KS,1000000
ME,1000000
MI,1000000
MN,1000000
MS,1000000
NE,1000000
NC,1000000
OH,1000000
VT,1000000
VA,1000000
WY,1000000
AZ,10
FL,10
GA,10
HI,10
KY,10
LA,10
MT,10
ND,10
OR,10
PA,10
SD,10
TN,10
TX,10
UT,10
WA,10
WI,10
