State,Unemployment
AL,1000000
AR,1000000
CA,1000000
CO,1000000
HI,1000000
IN,1000000
KY,1000000
LA,1000000
MN,1000000
MS,1000000
MT,1000000
NE,1000000
ND,1000000
OH,1000000
OR,1000000
PA,1000000
SD,1000000
TN,1000000
TX,1000000
WY,1000000
AZ,10
FL,10
GA,10
ID,10
IL,10
IA,10
KS,10
ME,10
MI,10
NC,10
UT,10
VT,10
VA,10
WA,10
WI,10
