State,Unemployment
AR,1000000
CO,1000000
LA,1000000
MT,1000000
NE,1000000
OR,1000000
SD,1000000
WA,1000000
WI,1000000
WY,1000000
AL,10
AZ,10
CA,10
FL,10
GA,10
HI,10
ID,10
IL,10
IN,10
IA,10
KS,10
KY,10
ME,10
MI,10
MN,10
MS,10
NC,10
ND,10
OH,10
PA,10
TN,10
TX,10
UT,10
VT,10
VA,10
