State, Unemployment
AL,12000
AZ,32000
AR,40000
CA,390000
CO,23000
FL,205000
GA,63000
HI,8000
ID,100000
IL,7000
IN,7000
IA,35000
KS,14000
KY,5000
LA,35000
ME,7000
MI,65000
MN,135000
MS,18000
MO,16000
MT,140000
NE,51000
NJ,12000
NY,64000
NC,9000
ND,390000
OH,16000
OR,42000
PA,30000
SD,215000
TN,6000
TX,116000
UT,24000
VT,6000
VA,7000
WA,56000
WV,9000
WI,68000
WY,39000
