State, Unemployment
AL,8000
AZ,22000
AR,25000
CA,330000
CO,25000
FL,193000
GA,59000
HI,10000
ID,92000
IL,7000
IN,8000
IA,37000
KS,6000
KY,5000
LA,41000
ME,4000
MI,73000
MN,125000
MS,18000
MO,7000
MT,145000
NE,43000
NJ,14000
NY,51000
NC,13000
ND,480000
OH,18000
OR,60000
PA,16000
SD,260000
TN,6000
TX,92000
UT,25000
VT,4000
VA,4000
WA,62000
WV,6000
WI,60000
WY,50000
