State, Unemployment
AL,7000
AZ,22000
AR,29000
CA,335000
CO,33000
FL,205000
GA,99000
HI,12000
ID,95000
IL,11000
IN,7000
IA,35000
KS,7000
KY,5000
LA,43000
ME,12000
MI,87000
MN,126000
MS,13000
MO,8000
MT,145000
NE,42000
NJ,13000
NY,57000
NC,11000
ND,455000
OH,15000
OR,78000
PA,16000
SD,255000
TN,7000
TX,120000
UT,27000
VT,7000
VA,5000
WA,77000
WV,6000
WI,53000
WY,39000
