State, Unemployment
AL,12000
AZ,38000
AR,45000
CA,470000
CO,24000
FL,220000
GA,50000
HI,7000
ID,100000
IL,9000
IN,8000
IA,33000
KS,17000
KY,5000
LA,35000
ME,11000
MI,72000
MN,117000
MS,18000
MO,18000
MT,134000
NE,43000
NJ,11000
NY,60000
NC,16000
ND,320000
OH,18000
OR,43000
PA,29000
SD,225000
TN,8000
TX,114000
UT,22000
VT,7000
VA,8000
WA,50000
WV,9000
WI,70000
WY,38000
