State, Unemployment
AL,15000
AZ,32000
AR,50000
CA,390000
CO,30000
FL,240000
GA,75000
HI,8000
ID,110000
IL,11000
IN,9000
IA,52000
KS,16000
KY,3000
LA,44000
ME,9000
MI,90000
MN,150000
MS,17000
MO,22000
MT,117000
NE,65000
NJ,7000
NY,68000
NC,12000
ND,230000
OH,24000
OR,55000
PA,23000
SD,240000
TN,5000
TX,82000
UT,34000
VT,4000
VA,7000
WA,60000
WV,10000
WI,69000
WY,40000
