State, Unemployment
AL,9000
AZ,24000
AR,25000
CA,410000
CO,34000
FL,200000
GA,55000
HI,10000
ID,97000
IL,9000
IN,10000
IA,27000
KS,9000
KY,5000
LA,36000
ME,5000
MI,71000
MN,128000
MS,16000
MO,11000
MT,157000
NE,41000
NJ,13000
NY,45000
NC,13000
ND,510000
OH,18000
OR,59000
PA,30000
SD,265000
TN,8000
TX,100000
UT,26000
VT,4000
VA,5000
WA,71000
WV,5000
WI,64000
WY,34000
