State, Unemployment
AL,14000
AZ,42000
AR,50000
CA,420000
CO,35000
FL,240000
GA,75000
HI,9000
ID,120000
IL,7000
IN,8000
IA,45000
KS,17000
KY,3000
LA,44000
ME,8000
MI,85000
MN,145000
MS,19000
MO,24000
MT,107000
NE,61000
NJ,10000
NY,72000
NC,8000
ND,245000
OH,22000
OR,50000
PA,22000
SD,240000
TN,7000
TX,94000
UT,32000
VT,5000
VA,8000
WA,60000
WV,8000
WI,79000
WY,38000
