State, Unemployment
AL,13000
AZ,35000
AR,40000
CA,480000
CO,24000
FL,210000
GA,52000
HI,7000
ID,100000
IL,7000
IN,5000
IA,32000
KS,16000
KY,5000
LA,34000
ME,8000
MI,65000
MN,120000
MS,21000
MO,17000
MT,145000
NE,45000
NJ,10000
NY,67000
NC,10000
ND,340000
OH,15000
OR,42000
PA,27000
SD,215000
TN,6000
TX,140000
UT,25000
VT,7000
VA,6000
WA,58000
WV,8000
WI,74000
WY,39000
