State, Unemployment
AL,16000
AZ,52000
AR,55000
CA,420000
CO,45000
FL,230000
GA,70000
HI,8000
ID,125000
IL,11000
IN,12000
IA,45000
KS,17000
KY,3000
LA,38000
ME,11000
MI,97000
MN,165000
MS,16000
MO,23000
MT,106000
NE,60000
NJ,10000
NY,70000
NC,12000
ND,220000
OH,25000
OR,52000
PA,25000
SD,240000
TN,5000
TX,84000
UT,32000
VT,5000
VA,9000
WA,60000
WV,13000
WI,73000
WY,38000
