State, Unemployment
AL,16000
AZ,55000
AR,53000
CA,450000
CO,27000
FL,230000
GA,75000
HI,8000
ID,120000
IL,9000
IN,9000
IA,50000
KS,16000
KY,3000
LA,41000
ME,10000
MI,80000
MN,140000
MS,18000
MO,23000
MT,115000
NE,64000
NJ,11000
NY,65000
NC,8000
ND,230000
OH,18000
OR,50000
PA,26000
SD,225000
TN,7000
TX,91000
UT,30000
VT,6000
VA,8000
WA,58000
WV,6000
WI,89000
WY,46000
