State, Unemployment
AL,25000
AZ,70000
AR,45000
CA,490000
CO,52000
FL,220000
GA,85000
HI,9000
ID,135000
IL,16000
IN,15000
IA,65000
KS,28000
KY,4000
LA,45000
ME,15000
MI,95000
MN,190000
MS,25000
MO,25000
MT,87000
NE,96000
NJ,8000
NY,70000
NC,15000
ND,240000
OH,38000
OR,52000
PA,30000
SD,240000
TN,7000
TX,125000
UT,47000
VT,6000
VA,13000
WA,80000
WV,23000
WI,105000
WY,41000
