State, Unemployment
AL,14000
AZ,43000
AR,50000
CA,460000
CO,26000
FL,220000
GA,55000
HI,8000
ID,100000
IL,6000
IN,7000
IA,33000
KS,13000
KY,4000
LA,45000
ME,11000
MI,76000
MN,135000
MS,17000
MO,22000
MT,136000
NE,43000
NJ,11000
NY,53000
NC,13000
ND,280000
OH,18000
OR,44000
PA,26000
SD,235000
TN,8000
TX,97000
UT,23000
VT,7000
VA,9000
WA,48000
WV,7000
WI,67000
WY,38000
