State, Unemployment
AL,7000
AZ,27000
AR,24000
CA,310000
CO,32000
FL,215000
GA,96000
HI,16000
ID,97000
IL,10000
IN,7000
IA,37000
KS,7000
KY,5000
LA,50000
ME,12000
MI,89000
MN,124000
MS,19000
MO,8000
MT,159000
NE,48000
NJ,12000
NY,64000
NC,12000
ND,485000
OH,15000
OR,74000
PA,19000
SD,280000
TN,6000
TX,133000
UT,31000
VT,6000
VA,5000
WA,84000
WV,5000
WI,54000
WY,40000
