State, Unemployment
AL,17000
AZ,52000
AR,52000
CA,465000
CO,27000
FL,228000
GA,65000
HI,8000
ID,120000
IL,9000
IN,10000
IA,40000
KS,13000
KY,3000
LA,48000
ME,14000
MI,73000
MN,145000
MS,18000
MO,24000
MT,122000
NE,58000
NJ,10000
NY,69000
NC,9000
ND,255000
OH,20000
OR,45000
PA,28000
SD,224000
TN,8000
TX,108000
UT,26000
VT,6000
VA,7000
WA,52000
WV,6000
WI,80000
WY,37000
