State, Unemployment
AL,11000
AZ,30000
AR,32000
CA,380000
CO,36000
FL,170000
GA,63000
HI,10000
ID,95000
IL,10000
IN,7000
IA,26000
KS,14000
KY,5000
LA,30000
ME,11000
MI,72000
MN,125000
MS,14000
MO,15000
MT,132000
NE,47000
NJ,9000
NY,58000
NC,10000
ND,350000
OH,14000
OR,46000
PA,28000
SD,225000
TN,7000
TX,82000
UT,26000
VT,6000
VA,8000
WA,49000
WV,6000
WI,64000
WY,39000
